id,新規,,スキル名,テキスト,SP,種類,,キャラ,下位スキル,確定発動,CT,査定,前提条件,CM順位,LoH順位,条件,CM順位,LoH順位,効果1,効果量1,効果2,効果量2,効果3,効果量3,効果時間,前提条件,CM順位,LoH順位,条件,CM順位,LoH順位,効果1,効果量1,効果2,効果量1,効果3,効果量1,効果時間,
110991,○,#REF!,とびだせ☆ポッピングシェル,レース中間地点で速度が少し上がるさらにダートレースでスキル発動時第3コーナーにいない場合加えて速度がわずかに上がる,,固有,#REF!,ホッコータルマエ,,○,500,340,,,,distance_rate>=50&distance_rate<=51&ground_type==2&corner!=3,,,目標速度,0.25,目標速度,0.15,,,5,,,,distance_rate>=50&distance_rate<=51,,,目標速度,0.25,,,,,5,110991|とびだせ☆ポッピングシェル
120371,○,#REF!,潮風のGeschenk,中距離レースの最終コーナーで中団にいると前に出る東京レース場のレースならすごく前に出る,,固有,#REF!,エイシンフラッシュ,,○,500,340,,,,is_finalcorner==1&corner!=0&order_rate<=80&order_rate>=40&distance_type==3&track_id==10006,4～7位,5～10位,現在速度,0.45,,,,,5,,,,is_finalcorner==1&corner!=0&order_rate<=80&order_rate>=40&distance_type==3,4～7位,5～10位,現在速度,0.35,,,,,5,120371|潮風のGeschenk
200034,○,#REF!,府中の申し子,東京レース場が得意になりスタミナ、賢さ、スピードが上昇する,130,金,,,東京レース場◎,○,,461,,,,track_id==10006,,,緑(スタ),60,緑(賢さ),60,緑(スピ),60,-0.0001,,,,,,,,,,,,,,200034|府中の申し子
202841,○,#REF!,砂の妙手,レース中盤に前の方にいると持久力を回復し速度が上がる＜ダート＞,200,金,,,砂払い,,500,508,,,,ground_type==2&phase_random==1&order_rate<=50,5位以上,6位以上,回復,0.055,目標速度,0.35,,,1.8,,,,,,,,,,,,,,202841|砂の妙手
203081,○,#REF!,踏みしめる大地,レース終盤始めの方で前方にいると加速力が上がる＜先行・ダート＞,170,金,,,力の限り,,500,508,,,,ground_type==2&running_style==2&phase_firsthalf_random==2&order_rate<=50,5位以上,6位以上,加速,0.4,,,,,1.8,,,,,,,,,,,,,,203081|踏みしめる大地
203082,○,#REF!,力の限り,レース終盤始めの方で前方にいると加速力がわずかに上がる＜先行・ダート＞,170,白,,,,,500,217,,,,ground_type==2&running_style==2&phase_firsthalf_random==2&order_rate<=50,5位以上,6位以上,加速,0.2,,,,,1.8,,,,,,,,,,,,,,203082|力の限り
203092,○,#REF!,ダート直線◎,直線で速度が少し上がる＜ダート＞,110,白,,,ダート直線○,,500,262,,,,ground_type==2&straight_random==1,,,目標速度,0.25,,,,,3,,,,,,,,,,,,,,203092|ダート直線◎
203093,○,#REF!,ダート直線○,直線で速度がわずかに上がる＜ダート＞,100,白,,,,,500,217,,,,ground_type==2&straight_random==1,,,目標速度,0.15,,,,,3,,,,,,,,,,,,,,203093|ダート直線○
203102,○,#REF!,ダートコーナー◎,コーナーで速度が少し上がる＜ダート＞,110,白,,,ダートコーナー○,,500,262,,,,ground_type==2&all_corner_random==1,,,目標速度,0.25,,,,,3,,,,,,,,,,,,,,203102|ダートコーナー◎
203103,○,#REF!,ダートコーナー○,コーナーで速度がわずかに上がる＜ダート＞,100,白,,,,,500,217,,,,ground_type==2&all_corner_random==1,,,目標速度,0.15,,,,,3,,,,,,,,,,,,,,203103|ダートコーナー○
